	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	(1) Simple DiD	(2) With Controls	(3) Clean Comparison	(4) High Income	(5) With Homeown. Proxy	(6) Excl. 2020	(7) Narrow: Tax Time	(8) Pre-COVID Post Only	(9) Narrow Tax x Clean Sample
									
13.famincome		-1.080***	-1.012***	1.892**	1.767**	-0.950**	-0.641*	-0.562	-0.594
		(0.352)	(0.353)	(0.860)	(0.821)	(0.397)	(0.366)	(0.487)	(0.360)
15.famincome		3.033***		-0.592	3.087***	2.910***	1.376	2.437**	
		(0.920)		(0.672)	(0.947)	(0.931)	(0.837)	(1.134)	
16.famincome		3.676***			3.742***	3.531***	1.803*	2.866**	
		(0.969)			(1.002)	(0.970)	(0.984)	(1.123)	
did_high				1.320**					
				(0.641)					
treatment_high				2.910***					
				(0.883)					
14.famincome				2.973***	2.836***				
				(0.825)	(0.783)				
did_proxy					-1.047				
					(1.147)				
treatment_proxy					1.078				
					(0.692)				
Constant	6.732***	-3.882*	0.263	-3.672*	-3.771*	-3.060	-1.078	-0.035	1.999
	(0.440)	(2.067)	(2.523)	(2.072)	(2.049)	(2.107)	(1.583)	(2.883)	(1.659)
									
Observations	87,779	87,779	53,954	87,779	87,779	80,883	87,779	59,522	53,954
R-squared	0.001	0.019	0.019	0.019	0.019	0.019	0.012	0.021	0.012
Controls	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
State FE	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Year FE	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Comparison	vs ALL non-treated (NOT clean control)	vs ALL non-treated (NOT clean control)	PREFERRED: clean treat vs true control						PREFERRED sample + narrow outcome
Sample			50-100k vs <35k					2013-2019 only	50-100k vs <35k
Outcome							Tax/insurance minutes only		Tax/insurance minutes only
Note						2020 excluded			
Treatment				Income $100k+					
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
